WorkedWith,Academic researcher,Back-End Developer,Data Analyst,Data Scientist,Database administrator,DevOps specialist,Developer_ QA or test,Developer_ desktop or enterprise applications,Developer_ embedded applications or devices,Developer_ game or graphics,Engineer_ data,Engineering manager,Front-End Developer,Fullstack Developer,Mobile Developer,Product Manager,Senior Executive (C-Suite_ VP_ etc.),System administrator
AWS,0.65,15.48,0.42,3.09,0.37,1.97,0.63,5.79,0.51,0.16,4.08,1.36,19.71,29.85,14.41,0.33,0.88,0.3
DigitalOcean,0.72,11.84,0.29,1.52,0.24,1.48,0.41,4.69,0.46,0.18,2.23,0.82,23.51,31.35,18.64,0.3,0.85,0.46
Google Cloud Platform,0.98,12.24,0.47,4.1,0.31,1.54,0.49,4.87,0.48,0.11,4.04,1.13,19.25,25.35,23.12,0.35,0.78,0.38
Heroku,0.64,11.21,0.28,2.07,0.14,0.47,0.38,4.15,0.23,0.12,2.05,0.81,25.03,32.33,18.99,0.38,0.48,0.23
IBM Cloud or Watson,1.65,10.34,1.55,6.93,0.83,1.55,1.03,7.45,0.21,0.1,4.34,1.76,17.79,21.92,20.37,0.62,1.24,0.31
Microsoft Azure,0.5,11.0,0.58,2.85,0.45,1.68,0.83,10.03,0.48,0.12,3.5,1.2,21.19,28.04,16.11,0.32,0.7,0.44
Oracle Cloud Infrastructure,,,,,,,,,,,,,,,,,,
